product_name,category,description,price,company
Pioneer Pump Action Shotgun,Hunting,"This pump action features a classic Walnut stock, 28″ barrel, and accepts Mobile Chokes for wider availability.",399.95,Canuck
Renegade 12 Gauge Shotgun,Hunting,This one coming with a sleek yet aggressive design including a smooth birds head grip along with the full stock.,449.95,Canuck
Over Under 8 Gauge Shotgun,Hunting,Over Under design allows for dual shot action and quick reload. 8G power.,749.95,Canuck
Sentry 12 Gauge,Hunting,"Canuck Sentry Pump Action Shotgun – 12ga, 3″, 24″, Black Synthetic Adjustable Pistol Grip Stock, Fiber Optic Front Sight, Optic Rail, Heat Sheild, 8+1, Mobil Choke Flush (C,M,F) + Breacher Choke.",429.95,Canuck
Trap Over Under Combo Shotgun,Hunting,"This finely crafted shotgun comes with a multitude of features from fully adjustable stock,Ported Barrels, Extended Chokes, High Vented Adjustable rib, and not to mention.. 2 Barrel right out of the gate.","1,664.95",Canuck
Over Under 20 Gauge Shotgun,Hunting,Over Under design allows for dual shot action and quick reload. 20G power.,749.95,Canuck
TNW Aero Survival Rifle Black,Hunting,"The TNW ASR (Aero Survival Rifle) boasts as a great compact, versatile Non-Restricted rifle. Famous for it’s removable barrel to easily convert to a different caliber.","1,039.95",TNW Firearms
TNW Aero Survival Rifle Camo,Hunting,"The TNW ASR (Aero Survival Rifle) boasts as a great compact, versatile Non-Restricted rifle. Famous for it’s removable barrel to easily convert to a different caliber.","1,039.95",TNW Firearms
Glock G48 9mm,Hunting,"With an extensive history of reliability and durability, GLOCK has expanded the product line by introducing compact slimline pistols. Chambered in 9X19, the G48 features a compact, slimline frame with silver nPVD finish and a 10-round magazine capacity.",714.95,Glock
Beretta 92A1 Type F 9mm,Hunting,"The “A1” class is a specialized tactical branch of the most tested and trusted military and personal defense weapon in history: the 92FS. Beretta started with the super-reliable 92, keeping the engineering characteristics that make it so accurate, safe and dependable; then, they added some features prized by today’s most demanding tactical shooters as well as by those wanting the absolute best for home defense or personal protection. The result is the 92A1, a pistol that is as reliable for its intended use as it is safe and user-friendly even for the novice.",555.05,Beretta
